horizon,key,proxy,epsilon,mean_epsilon,min_epsilon,median_epsilon,q1_epsilon,q3_epsilon,proxy_time,simulate_time
6,2,38.602840423583984,39.377743715418404,19.37872625600998,0.0,19.859600743045576,16.804011386210227,23.228710745956832,6.984375,129.640625
6,4,39.39820098876953,40.13139937559943,18.99313006737353,0.0,19.736679750039062,15.85061185955958,23.011271279717555,5.140625,152.21875
6,6,42.32728576660156,43.617216156994,23.770305490949582,0.0,24.166250391734973,21.7015656361409,27.232414444616893,5.359375,412.484375
6,8,41.00860595703125,39.23232722873308,20.786494521043693,0.0,20.438080602356017,17.394967364447872,23.7642945219422,10.078125,407.265625
6,10,41.07284164428711,41.04306963050245,19.844105544983584,0.0,21.133294390057888,17.019734273136134,26.110670780124714,10.0625,197.53125
6,12,38.676212310791016,36.61636329463836,19.204820662800746,0.0,19.326095072961905,16.223233256572406,23.666115248068163,4.171875,129.59375
6,14,40.96475601196289,38.051117952688664,23.66573380403139,0.0,24.386063888586932,21.386353394698904,27.205085733644395,4.109375,209.328125
6,16,38.82757568359375,37.84079506916954,19.703552710878135,0.0,20.40622465857506,17.198502545420805,22.630835608094902,4.265625,135.0
6,18,37.75279998779297,36.241928963206576,17.159984591455537,0.0,18.284196244695693,14.971299650370224,21.330452635445777,4.109375,98.546875
6,20,41.613861083984375,37.13229420722323,22.75177872446085,0.0,22.490224937998345,18.662817226447277,26.651763347664307,4.078125,177.71875
6,22,38.986045837402344,34.42600123067237,17.561166263635048,7.4927737603856315,16.939616778575157,14.358916640379796,20.480346589121382,4.1875,112.765625
6,24,40.92344665527344,38.35661396289965,20.99940791022119,0.0,22.885709889048172,18.987504796967833,25.13591820044244,4.0625,128.25
6,26,38.929168701171875,33.22575615427827,19.669288348402695,0.0,20.017962393255154,17.89514057756925,22.7698657162936,4.078125,167.9375
6,28,40.00973129272461,40.89031943927159,24.577498921376737,0.0,25.221842168469692,22.337916584964255,28.396287911349344,4.09375,215.671875
6,30,39.37769317626953,41.50063831744269,20.52684351496121,0.0,21.65154119293274,16.012207490710544,25.284548912122233,4.078125,184.578125
7,2,44.53469467163086,42.09340353382964,23.22261642033262,0.0,23.861063302673173,20.692407352828425,27.45146646618732,9.734375,512.15625
7,4,45.27110290527344,46.55159743945838,22.926670690184103,0.0,23.67345957228514,20.57524659642676,27.451857962631635,9.0625,518.078125
7,6,48.051273345947266,46.6147150896017,27.247793411390745,0.0,27.125002997234773,24.621810600482235,30.98114329414682,8.71875,910.125
7,8,46.87556457519531,41.25295350229383,24.977198425575764,0.0,24.38173505471672,21.726919475106307,29.1108957833098,8.984375,861.9375
7,10,47.48386764526367,44.92267855851367,23.972838896733847,0.0,26.535505410619493,21.41437503796494,29.85111874017683,9.234375,789.203125
7,12,45.24882507324219,42.63056344620385,23.179026493834765,0.0,23.86782665521827,19.75410538578359,28.354992974879895,9.6875,525.828125
7,14,47.13121795654297,41.69831535016217,27.042311342767288,0.0,27.909195892717005,24.90967221368718,31.324963895912653,9.265625,768.265625
7,16,44.85582733154297,43.14366107949376,22.77508089210596,0.0,23.188303378632803,21.109353699886086,25.568412930894123,4.171875,237.234375
7,18,43.93647003173828,41.883412829851224,20.877085266658828,0.0,22.133700644683614,18.874698554255225,25.369896953073592,4.28125,174.21875
7,20,47.93968200683594,41.56136026397942,26.792091176868745,0.0,26.739132326467338,23.012066120691223,30.577051826473124,4.078125,314.875
7,22,44.59013748168945,38.72329103199836,21.26980461728091,10.588800267460549,21.21166665071995,17.62498833245332,24.33865792292294,3.96875,204.796875
7,24,47.39550018310547,41.13589587862809,23.846803021057383,0.0,25.089150553505483,22.780654216944903,27.587562831350688,3.9375,236.796875
7,26,44.89607238769531,38.139116652455165,23.650218368655008,0.0,24.059316464368116,21.607643388461533,26.970726779802728,4.109375,299.625
7,28,46.52162170410156,46.39681906298596,27.98338459250328,0.0,28.178446817530443,25.769576379366264,30.986073478181407,4.0625,548.71875
7,30,45.67369079589844,47.65246943547409,24.151654321220057,0.0,24.576681385479297,21.763420851950617,28.624668784407298,8.53125,291.3125
8,2,50.39445114135742,44.743191102192206,26.536530490706024,0.0,27.19357419432493,23.988250269872744,31.183867336706797,4.25,379.390625
8,4,51.40407180786133,47.514518956575166,26.560163859727712,0.0,26.963764742506502,23.545510033980165,31.9316442955855,4.078125,374.71875
8,6,53.796871185302734,46.6147150896017,29.613973084982486,0.0,29.20889161751007,26.707059411337454,33.908827327980234,4.1875,667.3125
8,8,53.187828063964844,43.35676395109334,28.589632244634746,0.0,28.541699453066844,24.7196692754943,32.943271732510034,8.984375,1210.59375
8,10,52.79074478149414,48.222716773565494,27.319486379400875,0.0,29.407330072221328,26.243105904423395,33.68838682466325,8.75,780.84375
8,12,51.764137268066406,45.161444010966036,26.750142230919906,0.0,27.935158330319044,23.80735194535373,31.97683610959827,4.03125,656.671875
8,14,53.3097038269043,45.97568665190305,29.265271528398667,0.0,30.27276035502057,27.434354529120554,33.468722092699004,9.015625,1297.453125
8,16,50.929256439208984,43.58310619371811,25.473576409728025,0.0,25.460164705805337,23.24487588096852,28.903339161777186,9.078125,511.203125
8,18,50.07497024536133,49.07490589039758,24.479803162807936,0.0,25.715308196171648,22.59497222641062,29.457504272314885,3.96875,488.015625
8,20,54.40244674682617,43.88971403982953,29.905390285641072,0.0,30.06492569639083,26.402632525830025,33.43818536258155,9.5,1331.5625
